title,url,date_time,venue
Escape Room Summer Promo!,https://www.blogto.com/events/escape-room-summer-promo-toronto/,9:00 AM – 10:00 PM,Looking Glass Adventures
Exhibit A: Investigating Crime & Footwear,https://www.blogto.com/events/exhibit-a-investigating-crime-footwear-toronto/,10:00 AM – 5:00 PM,Bata Shoe Museum
Flowers Bloom for You,https://www.blogto.com/events/flowers-bloom-for-you-toronto/,12:00 PM – 5:00 PM,235 Spadina Ave
"Free Senior In Home Support Program- Meals, Friendly Visiting in Scarborough",https://www.blogto.com/events/free-senior-in-home-support-program-meals-friendly-visiting-in-scarborough-toronto/,2:00 PM – 4:00 PM,Multiple Venues
Freestyle Frisbee World Championships,https://www.blogto.com/events/freestyle-frisbee-world-championships-toronto/,10:00 AM – 6:00 PM,The Mattamy Centre at Historic Maple Leaf Gardens
FRIDAY NIGHT LIVE at Yuk Yuk's Toronto,https://www.blogto.com/events/friday-night-live-at-yuk-yuks-toronto-toronto/,8:00 PM – 9:30 PM,Yuk Yuk's
George Byrne Debuts Synthetica - A Surreal Reimagining of the American Landscape at Bau-Xi Gallery Dufferin,https://www.blogto.com/events/george-byrne-debuts-synthetica-a-surreal-reimagining-of-the-american-landscape-at-bau-xi-gallery-dufferin-toronto/,10:00 AM – 5:30 PM,Bau-Xi Gallery | Dufferin
Ghosts of the Sea,https://www.blogto.com/events/ghosts-of-the-sea-toronto/,6:00 PM – 8:00 PM,Hot Docs Cinema
Ghosts of the Sea - Screenings,https://www.blogto.com/events/ghosts-of-the-sea-screenings-toronto/,6:00 PM – 7:37 PM,Hot Docs Ted Rogers Cinema
Graffiti Alley Outdoor Pottery Workshops All Summer Long!,https://www.blogto.com/events/graffiti-alley-outdoor-pottery-workshops-all-summer-long-toronto/,11:00 AM – 5:00 PM,Clay with Me Pottery Studio
Happy Hour at Gladstone House!,https://www.blogto.com/events/happy-hour-at-gladstone-house-toronto/,4:00 PM – 6:00 PM,The Gladstone House
Harbourfront Farmers Market,https://www.blogto.com/events/harbourfront-farmers-market-toronto/,9:00 AM – 1:00 PM,The Commons at Harbourfront Centre
Home Game: Toronto Loves Basketball,https://www.blogto.com/events/home-game-toronto-loves-basketball-toronto/,12:00 PM – 8:00 PM,Harbourfront Centre
Home Game: Toronto Loves Basketball,https://www.blogto.com/events/home-game-toronto-loves-basketball-toronto-2/,12:00 PM – 8:00 PM,Harbourfront Centre
Hope Letter Campaign,https://www.blogto.com/events/hope-letter-campaign-toronto/,12:01 AM – 11:59 PM,Virtual Event
Jessica Stockholder: The Squared Circle: Ringing,https://www.blogto.com/events/jessica-stockholder-the-squared-circle-ringing-toronto/,11:00 AM – 5:00 PM,MOCA Toronto
Justin Ming Yong: Blur,https://www.blogto.com/events/justin-ming-yong-blur-toronto/,11:00 AM – 5:00 PM,MOCA Toronto
KALIBR8 - DJ/Dance/Social,https://www.blogto.com/events/kalibr8-djdancesocial-toronto/,9:00 PM – 2:00 AM,Alternity
Koffler Arts Presents Elinor Carucci & Hannah Altman,https://www.blogto.com/events/koffler-arts-presents-elinor-carucci-hannah-altman-toronto/,12:30 PM – 5:00 PM,Koffler Gallery
Kour Pour: Cosmic Diagrams,https://www.blogto.com/events/kour-pour-cosmic-diagrams-toronto/,10:00 AM – 5:30 PM,Aga Khan Museum
LEGO Summer of Play at LEGOLAND Discovery Centre Toronto,https://www.blogto.com/events/lego-summer-of-play-at-legoland-discovery-centre-toronto-toronto/,10:00 AM – 5:00 PM,LEGOLAND Discovery Centre Toronto
Making a Museum - The Photographic Exhibition,https://www.blogto.com/events/making-a-museum-the-photographic-exhibition-toronto/,10:30 AM – 3:30 PM,Ukrainian Museum of Canada – Ontario Branch
"Margaux Williamson: Shoes, books, hands, buildings, and cars",https://www.blogto.com/events/margaux-williamson-shoes-books-hands-buildings-and-cars-toronto/,11:00 AM – 5:00 PM,MOCA Toronto
Morning Yoga @ Soulpepper Theatre,https://www.blogto.com/events/morning-yoga-soulpepper-theatre-toronto/,9:00 AM – 10:00 AM,Young Centre for the Performing Arts
Movies Under the Stars 2025,https://www.blogto.com/events/movies-under-the-stars-2025-toronto/,9:00 PM – 11:00 PM,Parc Downsview Park
National Bank Open presented by Rogers,https://www.blogto.com/events/national-bank-open-presented-by-rogers-toronto-2/,10:30 AM – 9:00 PM,Sobeys Stadium
Nature in Brilliant Colour at ROM,https://www.blogto.com/events/nature-in-brilliant-colour-at-rom-toronto/,10:00 AM – 5:30 PM,Royal Ontario Museum
Not Safe For Work,https://www.blogto.com/events/not-safe-for-work-toronto/,8:00 PM – 9:30 PM,The Second City
NTSC Summer Skating Camp,https://www.blogto.com/events/ntsc-summer-skating-camp-toronto/,10:00 AM – 4:30 PM,North Toronto Memorial Arena
Orchard Rendezvous,https://www.blogto.com/events/orchard-rendezvous-toronto-2/,6:30 PM – 8:30 PM,Parc Downsview Park
Porsche Experience,https://www.blogto.com/events/porsche-experience-toronto/,9:00 AM – 6:00 PM,Porsche Experience Centre Toronto
Romeo & Juliet,https://www.blogto.com/events/romeo-juliet-toronto-2/,8:00 PM – 10:00 PM,High Park Amphitheatre
ROM Immortal: Nature's Symphony,https://www.blogto.com/events/rom-immortal-natures-symphony-toronto/,10:00 AM – 5:30 PM,Royal Ontario Museum
Rosalie Favell: Belonging 1982 - 2024,https://www.blogto.com/events/rosalie-favell-belonging-1982-2024-toronto/,12:00 PM – 5:00 PM,Onsite Gallery
Rough & Ready: A History of the Cowboy Boot,https://www.blogto.com/events/rough-ready-a-history-of-the-cowboy-boot-toronto/,10:00 AM – 5:00 PM,Bata Shoe Museum
"Saints, Sinners, Lovers and Fools: 300 Years of Flemish Masterworks",https://www.blogto.com/events/saints-sinners-lovers-and-fools-300-years-of-flemish-masterworks-toronto/,10:00 AM – 5:30 PM,Royal Ontario Museum
Seasons in Art,https://www.blogto.com/events/seasons-in-art-toronto/,1:30 PM – 5:00 PM,Toronto Reference Library
Shapes of the Extraordinary,https://www.blogto.com/events/shapes-of-the-extraordinary-toronto/,12:00 PM – 5:00 PM,the Red Head Gallery
Summer at Old City Hall,https://www.blogto.com/events/summer-at-old-city-hall-toronto/,10:00 AM – 3:00 PM,Old City Hall
Summer Camp at the Columbus Centre,https://www.blogto.com/events/summer-camp-at-the-columbus-centre-toronto/,9:00 AM – 4:00 PM,Columbus Centre
Summer with Ontario Science Centre Experiences at CF Sherway Gardens,https://www.blogto.com/events/summer-with-ontario-science-centre-experiences-at-cf-sherway-gardens-toronto/,10:00 AM – 6:00 PM,CF Sherway Gardens
Talisman - An Art Installation,https://www.blogto.com/events/talisman-an-art-installation-toronto/,9:00 AM – 4:00 PM,Clark Centre for the Arts
The 39 Steps,https://www.blogto.com/events/the-39-steps-toronto/,7:30 PM – 9:00 PM,Guild Festival Theatre
"THE 52: STORIES OF WOMEN WHO TRANSFORMED TORONTO, A GROUNDBREAKING EXHIBITION",https://www.blogto.com/events/the-52-stories-of-women-who-transformed-toronto-a-groundbreaking-exhibition-toronto/,12:00 PM – 6:00 PM,Museum of Toronto
THE CLASSIC GAME SHOW ESCAPE,https://www.blogto.com/events/the-classic-game-show-escape-toronto/,1:00 PM – 10:00 PM,Trivia Escape Rooms
The Lion King,https://www.blogto.com/events/the-lion-king-toronto/,1:00 PM – 7:00 PM,Princess of Wales Theatre
"The Perfect Bite, A Dinner Experience Inspired by Glass Onion: A Knives Out Mystery",https://www.blogto.com/events/the-perfect-bite-a-dinner-experience-inspired-by-glass-onion-a-knives-out-mystery-toronto-4/,1:00 PM – 10:30 PM,Peter Pan Bistro
The Wedding Party: A Dinner Theatre Escape Room,https://www.blogto.com/events/the-wedding-party-a-dinner-theatre-escape-room-toronto/,7:00 PM – 9:30 PM,Old Mill Toronto
Titanic: The Official Exhibition,https://www.blogto.com/events/titanic-the-official-exhibition-toronto/,9:00 AM – 6:00 PM,YZD Hangar Bay 12
Toronto Caribbean Carnival 2025,https://www.blogto.com/events/toronto-caribbean-carnival-2025-toronto/,N/A,Multiple Venues
Trickster Tales: An Osborne Collection Exhibition,https://www.blogto.com/events/trickster-tales-an-osborne-collection-exhibition-toronto/,9:00 AM – 8:30 PM,Osborne Collection - Lillian H. Smith Library
TSM20: Toronto Summer Music Festival,https://www.blogto.com/events/tsm20-toronto-summer-music-festival-toronto/,11:00 AM – 11:00 PM,Multiple Venues
Union Summer Presented by TD,https://www.blogto.com/events/union-summer-presented-by-td-toronto-5/,11:00 AM – 10:00 PM,Union Station
Worlds on Paper: Drawings from Kinngait,https://www.blogto.com/events/worlds-on-paper-drawings-from-kinngait-toronto/,10:00 AM – 5:00 PM,McMichael Canadian Art Collection
