venue,link
Cabaret,https://comedybar.ca/shows/devon-walker?ev=2025-08-16T21%3A00%3A00
Cabaret,https://comedybar.ca/shows/saturday-night-showcase?ev=2025-08-16T21%3A30%3A00
Cabaret,https://comedybar.ca/shows/late-night-fckery?ev=2025-08-16T23%3A00%3A00
Cabaret,https://comedybar.ca/shows/dont-lieyou-were-thinking-it-too?ev=2025-08-17T19%3A00%3A00
Cabaret,https://comedybar.ca/shows/studio-mondays?ev=2025-08-18T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/comedy-bars-hot-mic?ev=2025-08-19T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/studio-wednesdays?ev=2025-08-20T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/studio-thursdays?ev=2025-08-21T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/mike-rita---big-in-little-portugal?ev=2025-08-22T19%3A00%3A00
Cabaret,https://comedybar.ca/shows/mike-rita---big-in-little-portugal?ev=2025-08-23T19%3A00%3A00
Cabaret,https://comedybar.ca/shows/studio-sundays?ev=2025-08-17T19%3A30%3A00
Cabaret,https://comedybar.ca/shows/The-Perfect-Heist?ev=2025-08-19T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/shafi-hossain?ev=2025-08-22T19%3A30%3A00
Cabaret,https://comedybar.ca/shows/shafi-hossain?ev=2025-08-23T19%3A30%3A00
Cabaret,https://comedybar.ca/shows/dont-lieyou-were-thinking-it-too?ev=2025-08-17T21%3A00%3A00
Cabaret,https://comedybar.ca/shows/abbas-wahab?ev=2025-08-22T21%3A00%3A00
Cabaret,https://comedybar.ca/shows/abbas-wahab?ev=2025-08-23T21%3A00%3A00
Cabaret,https://comedybar.ca/shows/shafi-hossain?ev=2025-08-22T21%3A30%3A00
Cabaret,https://comedybar.ca/shows/shafi-hossain?ev=2025-08-23T21%3A30%3A00
Cabaret,https://comedybar.ca/shows/studio-sundays?ev=2025-08-24T19%3A30%3A00
Cabaret,https://comedybar.ca/shows/studio-mondays?ev=2025-08-25T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/comedy-bars-hot-mic?ev=2025-08-26T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/studio-wednesdays?ev=2025-08-27T20%3A30%3A00
Cabaret,https://comedybar.cahttps://comedybar.ca/class/advanced-improv-drop-in
Cabaret,https://comedybar.ca/shows/pat-mcgann?ev=2025-08-29T19%3A00%3A00
Cabaret,https://comedybar.ca/shows/pat-mcgann?ev=2025-08-30T19%3A00%3A00
Cabaret,https://comedybar.ca/shows/Andrew-Barr-Special-Recording?ev=2025-08-24T20%3A00%3A00
Cabaret,https://comedybar.ca/shows/the-roll-players?ev=2025-08-26T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/studio-thursdays?ev=2025-08-28T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/deep-dish?ev=2025-08-29T20%3A00%3A00
Cabaret,https://comedybar.ca/shows/crush-city-comedy?ev=2025-08-30T20%3A00%3A00
Cabaret,https://comedybar.ca/shows/pat-mcgann?ev=2025-08-29T21%3A00%3A00
Cabaret,https://comedybar.ca/shows/deep-dish?ev=2025-08-30T20%3A00%3A00
Cabaret,https://comedybar.ca/shows/East-Side-Story?ev=2025-08-29T21%3A30%3A00
Cabaret,https://comedybar.ca/shows/pat-mcgann?ev=2025-08-30T21%3A00%3A00
Cabaret,https://comedybar.ca/shows/saturday-night-showcase?ev=2025-08-30T21%3A30%3A00
Cabaret,https://comedybar.ca/shows/hassan-phills-work-in-progress?ev=2025-08-31T17%3A00%3A00
Cabaret,https://comedybar.ca/shows/comedy-bars-hot-mic?ev=2025-09-02T20%3A30%3A00
